"","patient","polar_ 1","polar_ 2","polar_ 3","polar_ 4","polar_ 5","polar_ 6","polar_ 7","polar_ 8","polar_ 9","polar_ 10","polar_ 11","polar_ 12","polar_ 13","polar_ 14","polar_ 15","polar_ 16","polar_ 17","polar_ 18","polar_ 19","polar_ 20","polar_ 21","polar_ 22","polar_ 23","polar_ 24","polar_ 25","polar_ 26","polar_ 27","polar_ 28","polar_ 29","polar_ 30","polar_ 31","polar_ 32","polar_ 33","polar_ 34","polar_ 35","polar_ 36","polar_ 37","polar_ 38","polar_ 39","polar_ 40","polar_ 41","polar_ 42","polar_ 43","polar_ 44","polar_ 45","polar_ 46","polar_ 47","polar_ 48","polar_ 49","polar_ 50","polar_ 51","polar_ 52","polar_ 53","polar_ 54","polar_ 55","polar_ 56","polar_ 57","polar_ 58","polar_ 59","polar_ 60","polar_ 61","polar_ 62","polar_ 63","polar_ 64","polar_ 65","polar_ 66","polar_ 67","polar_ 68","polar_ 69","polar_ 70","polar_ 71","polar_ 72","polar_ 73","polar_ 74","polar_ 75","polar_ 76","polar_ 77","polar_ 78","polar_ 79","polar_ 80","polar_ 81","polar_ 82"
"280",280,22,25,30,37,50,63,71,86,140,155,154,249,247,348,446,476,529,598,558,651,773,947,1047,814,785,1063,963,808,1592,1805,1621,1988,1434,2117,2200,1717,1862,2400,2072,2512,2295,1936,2022,2588,3311,2616,4276,2934,3777,3541,3308,5240,3272,5032,3212,4166,3341,6352,5787,7070,5740,4608,6658,4705,4872,7260,5637,8839,5822,5734,9737,5253,8493,6922,9725,11498,10872,9897,6903,9746,7641,10041
"281",281,22,26,29,47,53,77,96,132,174,205,189,278,267,366,372,389,440,544,422,709,784,581,886,1111,998,1245,1023,1104,1418,1259,1128,1389,1292,1660,1702,1541,1405,2247,2504,1656,1871,2744,2921,2732,2872,4116,2723,3068,3184,4448,3886,3674,3094,3452,5471,5005,6154,4916,6090,6359,5082,3937,7327,7469,8065,8028,8927,6068,5671,7369,5147,8634,8413,8308,7337,6762,9831,7457,6391,10971,8708,8463
"282",282,22,27,36,40,60,58,71,138,162,158,183,304,316,355,256,289,526,378,603,784,710,602,670,720,953,1289,1215,1267,1071,1251,1677,1590,1508,1888,2235,2428,2261,2809,2764,2102,2410,2023,2162,3082,3388,3050,3413,3866,2731,3870,3088,3146,5531,3956,5020,4549,3522,3724,3790,6846,6472,6152,7949,7468,5369,5361,8968,8048,6235,8683,6465,9422,7022,6633,10775,10397,6337,8285,6842,9667,9671,11708
"283",283,21,24,34,43,69,58,70,118,135,162,180,292,339,395,420,313,528,621,643,539,802,726,902,708,1232,1257,1421,1561,1322,1813,1027,1144,1208,1244,1597,2414,2671,2419,2023,2835,3234,1832,3557,2608,3338,2907,4107,3374,2958,3508,5217,3081,5460,5608,5466,4216,4373,6366,5575,6755,6439,4495,4440,5100,6098,8689,7829,9018,8945,8193,9418,10291,8345,6027,9746,6783,8835,9287,8483,8574,9884,12915
"284",284,22,28,36,42,51,81,72,127,118,147,170,263,357,348,406,334,309,590,703,422,534,693,553,795,1011,1237,1270,938,1121,1587,1070,1984,1168,1938,1864,2139,2314,2052,1940,2959,2719,2946,2809,2601,3951,3295,3082,2938,2827,3925,4725,4258,3146,5708,4120,3348,4008,6712,6337,7142,5178,4984,4479,5906,7796,8019,6364,6901,9315,5881,7164,5542,6001,8111,9097,10386,6819,11960,12293,9466,10566,6824
"285",285,22,25,31,38,60,80,90,85,179,176,228,221,292,241,443,481,592,439,703,776,840,685,554,1156,934,1022,1038,977,945,967,1722,1515,1268,2322,2228,2258,1423,2505,2189,2491,2282,1939,2877,2187,2772,3168,3141,2730,2690,4040,3676,4138,4786,3168,5663,4080,5452,4844,4699,6793,4870,7330,4372,7780,7866,7804,6829,5390,5865,7248,5762,5497,9864,6994,9241,11092,11489,10171,10556,8681,7713,12103
"286",286,22,24,33,52,45,65,76,125,119,217,205,198,355,367,256,475,448,476,632,428,797,850,754,1093,733,1363,1010,1390,1680,1203,1578,1336,1154,1730,1560,2597,2490,2182,2043,2926,1918,2057,2156,3221,3775,3563,3376,3668,3655,4297,4614,4814,4995,4363,4124,4577,5394,5174,5511,7055,5498,5498,5371,5974,7215,6095,7121,8524,6064,7038,6469,6915,9896,8561,9651,9123,9084,7040,6560,10283,7527,9353
"287",287,22,28,31,39,57,65,100,133,109,171,141,217,346,362,319,339,461,529,625,424,525,757,862,803,1018,977,755,944,1649,1115,1283,1256,1598,1854,1445,1650,1470,1961,2670,2247,2512,3374,2585,2781,3399,3294,3665,4034,2432,3144,2954,4031,2849,3268,5980,6144,4688,4943,6217,6923,6430,7100,7717,5206,4796,7239,4813,8071,6620,8536,8768,7986,10295,10807,9778,9265,6256,9533,7895,10608,12238,12406
"288",288,22,25,37,50,51,86,83,95,103,143,240,262,249,242,392,515,350,564,497,785,737,772,782,981,950,1334,1430,1143,1579,1133,1924,1499,2100,2313,2016,2023,2425,2643,2952,3207,2004,3033,3274,2886,2800,3311,2263,4326,4025,2821,2878,3694,3031,5821,5935,4716,5592,4595,4732,6654,5244,4180,7816,4759,8456,7576,6439,7652,7580,5163,7906,9770,5746,8021,8476,9318,10734,7461,6784,12366,10651,11053
"289",289,22,26,33,36,70,71,118,88,163,149,202,236,219,253,245,344,330,532,414,586,676,598,580,905,913,1221,968,1307,1645,1558,1489,1973,1540,1844,2306,1468,2624,2699,1808,1832,1912,2545,3133,2457,3778,2596,2312,3365,2587,3516,3600,4646,3990,5671,3685,4758,5563,4248,6973,4016,6231,4208,6886,7422,7882,4863,6055,7983,6169,7532,7298,6445,10131,5650,7021,7287,10689,6961,10714,10874,8306,10298
"290",290,22,25,32,48,50,58,108,84,140,166,144,199,203,228,448,457,519,619,733,427,507,556,959,947,844,1300,1039,1480,1141,1117,1866,1612,2074,1349,1966,2333,2660,1591,2278,2619,2267,1953,3474,3600,2771,4015,2273,2848,4001,4684,3277,2808,5614,5176,3313,5708,6237,5692,6629,4637,5434,6026,4808,4283,7895,8386,5969,7662,5156,9258,6109,10387,7271,7172,10283,6385,10176,8000,7261,12800,9017,7402
"291",291,21,28,30,39,58,89,114,119,136,182,165,277,316,255,399,280,416,501,671,675,900,818,933,716,1182,1213,986,1191,1679,1578,1068,1438,1474,1913,2068,2214,2589,2179,1675,2029,2205,2075,2477,2103,2346,3273,3750,4107,2705,4165,2774,3829,3165,5535,4850,3194,4429,4398,4161,5609,4647,5442,4215,5718,6445,7122,5235,6324,5808,6334,6794,10329,9231,10499,9315,9429,9897,11915,11407,7959,9472,7079
"292",292,21,28,34,41,70,77,100,131,172,208,209,243,302,220,378,287,491,346,628,723,807,611,864,1018,938,1275,970,1249,1607,1688,1593,1163,1749,1708,1657,2518,2513,2119,1741,2983,2990,1931,2140,2971,2362,3675,4385,2347,4076,3234,4843,3621,3998,3975,4380,3505,5754,4972,5249,5867,4658,6429,6225,6536,5951,8285,6688,4926,8059,8985,9153,9336,9630,7055,6320,10244,7579,6880,9989,8989,9816,8721
"293",293,22,27,34,36,51,57,100,107,103,120,227,196,295,408,295,312,365,538,388,427,894,834,709,898,1105,863,988,924,968,1544,1878,1674,1604,1655,2423,1435,2183,1894,1931,3184,2906,2502,2844,3012,2780,2516,2604,4230,3576,4616,4068,5220,3431,5551,4774,4100,5851,5072,4935,3781,6880,4985,7920,4601,6761,5198,8002,6219,8758,7486,6618,6403,5621,6233,6132,5991,7447,10712,6982,7489,7313,11577
"294",294,22,27,35,50,46,85,102,117,144,212,178,280,271,381,398,494,456,375,505,526,804,528,630,726,966,1273,1178,1459,1284,980,1552,1488,1658,1921,1849,2340,2290,2887,2046,2851,3011,1972,2768,3215,3222,2866,2368,3290,3533,3021,4129,3457,4971,3110,4675,3358,4273,3461,5622,5196,6773,7512,7141,5274,5718,7317,5930,4780,9345,7724,6744,5540,8331,10831,8343,5964,10839,11187,9092,12611,12445,10043
"295",295,21,25,33,51,65,84,116,88,171,219,201,257,290,361,404,493,503,350,610,817,808,611,828,719,1128,984,843,1393,1496,1569,1928,1116,1849,1949,1766,1562,2439,2876,1997,2729,1982,2920,1952,3878,3096,4005,4221,2759,4566,4509,3456,4959,3587,5243,4439,3452,3971,6383,6017,5017,6123,4329,6426,5221,5100,7593,8231,5486,4956,8537,7959,7342,8072,6843,6706,8310,9312,9045,9316,6485,7562,13226
"296",296,22,27,33,46,60,60,85,142,110,166,197,308,239,340,450,394,388,630,715,710,539,953,915,619,831,1274,1346,1390,1158,1609,1112,1412,1861,1586,2343,1365,2671,2586,1684,2689,1755,2834,2055,3846,3533,3803,4244,3281,3783,4464,2868,4800,4519,4384,3162,4694,5906,5296,3778,3743,4481,7156,5835,6125,6386,8045,5338,7069,5317,9454,9312,6517,8488,5630,6881,9109,9235,9416,7874,11038,9436,11374
"297",297,22,25,30,48,53,80,85,128,173,192,179,211,321,374,467,523,589,658,412,703,492,613,800,632,1136,757,1181,974,1098,1201,1503,1598,1746,1199,1669,1900,2325,1763,2436,3137,2603,2389,1897,3448,3587,3849,3056,2452,2676,2709,4960,3339,5318,4451,3598,5417,3628,3668,6515,5152,4903,7669,4119,8124,4629,8049,5922,5872,6154,8567,9793,8764,5362,10179,9048,5894,11085,7400,9228,12530,6600,10335
"298",298,21,24,34,38,59,91,71,135,111,137,192,299,248,320,386,510,522,503,448,760,662,778,759,845,911,922,906,1123,1176,1754,1746,1496,1323,1561,1655,1608,2717,2206,2561,3056,2448,2428,2830,2011,2946,2551,3532,3313,4333,4756,3689,5259,4485,4647,5513,5974,5719,4465,6938,4816,4539,4920,5698,5315,7560,5066,6050,9161,7852,9351,9514,9776,9250,6186,8495,7948,9492,8507,8984,9974,8909,12531
"299",299,22,27,35,45,68,90,82,102,139,180,199,270,207,407,321,346,388,574,668,566,801,561,964,1171,1201,1230,1195,903,1659,1032,1884,2017,1558,1784,1245,2175,1806,2879,1735,2449,2173,2893,2060,3659,3232,2897,2311,2865,2649,3527,2698,3852,4698,4299,4458,5011,4319,5914,5845,5402,6625,5534,6635,7150,8343,6954,5004,6178,6554,5279,8883,7442,6541,10762,7931,11252,6711,9305,8380,7008,9443,12104
"300",300,22,24,38,37,66,70,85,147,153,211,198,266,272,267,437,298,382,479,429,549,623,968,714,1062,898,1009,801,987,1320,1207,1015,1724,1668,1361,2034,2525,1690,2426,1756,2287,1941,3433,3187,3164,3210,3303,3633,3237,4010,4928,5211,3043,4827,4008,5622,3484,6293,3576,6836,7025,5563,4671,7855,4751,5455,8526,5623,8344,9512,8618,9330,7071,5970,5529,7742,7244,7690,7888,11465,9953,8235,9350
"301",301,21,24,33,41,52,57,90,130,146,128,199,285,306,336,246,343,384,501,410,701,771,980,577,936,926,1321,1015,900,1441,1670,1034,1986,2097,1916,1581,1815,2428,2049,1624,1887,2809,2033,2081,2636,3226,2451,3343,3419,2679,4805,5183,4362,5325,3595,3511,6099,4146,5537,6851,6827,4208,4767,7255,5336,6489,6495,6127,6036,8037,8361,6360,8954,10623,7834,9505,10229,9162,11924,9328,7207,8201,11408
"302",302,21,25,36,52,49,62,90,86,161,129,190,215,350,353,367,384,541,555,415,739,702,564,633,656,681,964,1018,1037,1174,1767,1546,1562,1201,1782,1936,1476,2052,1684,2459,1908,2544,1952,3117,3054,3568,3117,3596,4220,4026,3275,4207,5256,4787,4961,5205,4252,4894,6044,5493,4531,4228,7499,7725,5468,4373,7167,5473,7448,5147,7378,5401,8851,8739,7450,10528,6736,8569,9428,7164,11407,13010,10988
"303",303,21,27,32,42,51,82,90,120,105,134,257,182,193,349,351,469,336,512,558,519,519,808,910,816,899,1279,826,1132,1081,1503,1117,1620,2155,1537,1793,1542,1595,2283,2773,2623,2988,2690,2963,2384,2187,4131,4221,3818,2769,4896,3094,4423,5007,3971,5989,3969,5688,3768,4797,6238,7226,4099,5975,4182,6648,8114,6435,6177,6752,5113,8306,6908,7223,10713,9992,7006,10012,10236,7874,9946,10087,10259
"304",304,21,25,29,42,46,69,73,120,177,179,219,271,286,262,426,299,566,412,441,771,687,533,560,673,869,792,1056,1008,1692,1606,1833,1513,1930,1594,1718,2257,1977,1618,2713,2052,2484,2515,2684,3372,2821,2433,3696,4050,3596,3075,2625,3341,2967,4520,4494,3657,4479,4005,5668,4996,6645,7076,7872,4494,5742,6203,5518,7365,7885,5318,8491,5362,6849,8683,9935,11043,11591,7221,6501,6811,9266,8945
"305",305,21,27,34,40,48,57,74,122,165,196,244,283,192,345,383,519,347,630,627,761,776,858,577,1032,1252,1264,1239,1214,1225,1045,1437,1280,1698,2054,2140,2149,1993,2814,1842,2440,3237,2333,2131,3580,3944,2190,2964,3064,3880,2570,2777,3925,5511,5770,3903,3894,5723,5256,6104,6060,5791,5935,4826,5156,7642,6151,7514,6402,5068,6791,9852,9906,5859,6888,5835,11303,7442,11959,9356,10676,10509,9640
"306",306,21,28,37,43,61,59,82,103,151,124,149,203,334,362,324,305,403,505,472,600,463,744,1002,1087,772,855,1287,1146,1186,959,1311,1319,1347,1739,2046,1839,1773,2739,1910,2329,1846,3169,3199,2552,3775,2311,4293,2702,2825,3376,2835,4251,5083,3656,4762,4957,4007,3807,4012,5205,6051,5028,5536,6246,5281,7668,8062,6663,7495,6743,6222,9984,7690,10876,6254,8756,10061,6954,11877,6479,8548,12538
"307",307,22,24,30,48,48,88,100,90,154,209,232,301,202,269,458,352,503,369,687,814,545,760,555,609,985,905,1350,1138,1676,1407,1062,1269,1597,1911,1374,2272,2568,1934,3008,2109,1825,2240,3133,3224,3379,4153,2499,2335,4574,4303,3161,2947,5559,4220,3960,6170,4547,3615,6708,4313,6221,6518,6665,5412,4895,8261,5747,6931,8664,7594,9404,9220,6531,10110,6401,11226,9582,7074,9671,6583,11165,6788
"308",308,22,28,37,43,66,74,82,111,181,212,161,227,301,290,348,393,577,529,647,613,791,750,1012,863,756,838,822,1138,1108,1293,1781,1463,1275,1252,1560,1755,1399,1676,2453,2656,1704,2702,2139,3715,2513,2507,2251,4438,3428,2559,3225,3202,4414,4862,3740,4268,5911,3525,5524,5385,7260,6973,5751,6453,7346,8519,8654,5499,8933,6198,9264,8731,8320,8011,8600,10562,8847,6198,10134,11796,11541,12029
"309",309,22,25,37,51,70,71,92,84,165,143,167,242,265,346,252,436,408,371,585,675,830,884,580,665,994,1153,1319,1128,963,1041,1459,1212,1865,1452,1421,1979,1743,2117,2342,2748,3336,1898,3373,2630,2862,2450,3037,4372,4204,3675,3365,3064,4058,3785,5977,3512,4896,5616,5838,4553,5440,6313,7720,5591,6376,8128,4551,6329,8335,9246,8692,5768,7830,8440,10149,7910,7931,10282,11135,8140,10041,9661
"310",310,22,26,38,48,47,85,89,135,174,179,207,234,201,338,319,278,350,391,630,787,666,747,663,824,854,734,945,1009,1231,947,1535,1428,1990,2003,1279,2327,2287,2320,2737,2845,2513,2515,1981,2315,2140,3768,3577,3161,3110,4747,4197,3393,4316,5553,3589,6220,5350,4780,4769,4151,4619,5066,6607,5451,6480,4487,8177,6116,5357,8711,8389,7976,10304,8771,8694,11013,9750,7296,10512,11529,7139,11023
"311",311,21,24,36,49,65,75,78,136,137,124,161,267,305,238,434,455,451,544,412,806,626,520,1001,875,988,729,1194,1106,1526,1606,986,1573,1826,2126,1763,1917,1571,2496,2371,2377,1719,3020,3368,2604,3700,4166,3933,2652,2825,3186,4744,4757,4356,4202,3093,4188,5618,6748,4791,5928,6033,6794,4636,7007,5193,5302,6194,6143,9287,6867,6163,5901,10485,9914,7113,10899,11707,9816,6738,7640,7761,12769
"312",312,21,26,33,48,60,74,90,114,161,144,162,259,207,311,453,379,434,528,495,785,662,603,754,905,1146,981,1115,1326,1188,1336,1048,1931,1715,2322,1761,2555,1832,1738,3057,2467,2276,3099,2693,3513,3237,3720,4103,3329,3568,4682,3758,3516,5552,3660,5068,6084,4922,6570,4301,7067,3861,5378,6611,5918,4967,7602,4596,6073,8581,6119,5242,5769,8672,8096,7287,9495,10273,10033,8078,8955,8556,9919
"313",313,21,24,38,37,60,65,78,115,150,151,212,290,205,403,359,321,534,628,701,548,577,963,788,749,774,1367,1164,939,980,1761,1291,1509,1261,1786,2058,2016,1974,1982,1660,2856,3281,3233,2062,3642,2554,2939,2494,3990,4729,3479,4712,2912,3730,3772,4564,3295,4198,4252,4772,3720,4489,7308,5436,6578,5108,7275,7044,5045,8502,5000,9617,8454,9713,9394,5995,10264,9325,8360,11107,9400,9600,10191
"314",314,21,25,38,51,51,84,91,140,159,197,170,256,342,409,429,479,458,561,578,636,640,584,637,1012,933,1222,955,1222,1429,1010,1853,1101,1631,1261,1999,1887,2052,2177,2991,2430,2064,3021,2431,3830,3830,2950,4273,3685,3472,2879,3004,2758,4538,5317,5049,5627,3360,4448,6901,3715,5356,7010,7025,6015,7564,5705,5091,8720,5587,9133,8396,8877,5510,8266,7185,9420,7908,10668,6892,8908,8088,10733
"315",315,21,26,34,36,64,64,78,89,127,132,232,208,218,336,304,530,455,598,541,649,533,572,678,623,1015,821,1045,988,1150,1361,1855,1785,1821,2260,1417,2317,2073,2036,1924,2439,2748,2768,2432,2264,3086,4075,4433,3380,4340,4632,3958,4643,4747,5250,5017,3740,3421,4943,6118,4292,7211,7511,7574,5193,7897,4881,6384,7290,6593,7716,5512,8224,9447,10246,5727,6132,10712,9088,9845,11438,12759,10846
"316",316,21,27,36,44,55,81,69,100,174,162,177,272,241,340,301,348,330,431,401,794,811,938,645,998,692,702,818,1287,899,1031,1844,1790,1258,2179,1658,2345,1791,2623,1730,2912,3351,2221,1995,2479,3838,3262,3457,4429,4456,4052,4092,4091,5381,4223,3464,4271,3784,3541,4527,6991,5792,6900,7926,8079,4463,6695,6470,8710,7865,7890,7401,7253,5702,9884,8949,8007,8168,9937,10194,12269,8296,12891
"317",317,21,25,29,51,56,68,103,106,180,205,254,230,270,370,461,517,458,379,425,608,505,692,964,1142,682,970,924,1153,1669,1453,1273,1462,1710,2165,1361,2561,2331,1706,1777,2219,2200,2408,2687,2107,3192,3171,4200,3677,2817,4004,3627,3856,4255,5208,3379,5303,5774,5825,4653,3994,5698,5335,4715,4435,5777,5306,7856,5075,7898,5120,8731,6904,10431,7606,8035,6112,7731,11568,10177,9172,12611,12667
"318",318,21,26,30,42,63,74,77,133,179,120,149,272,309,345,459,517,488,399,458,622,517,529,902,1005,1152,760,1044,947,908,929,1926,1410,1542,1641,1645,1393,2092,1524,2491,2070,2773,2325,3477,2176,3777,3995,3765,3753,4423,4242,4152,3900,2838,5623,3720,3910,6181,4375,5292,3811,5275,4482,7215,6876,5716,7204,7489,6578,4913,7720,7232,10095,9077,9634,6114,6416,10593,10766,11756,12497,8936,11818
"319",319,21,28,33,46,66,88,83,146,130,179,172,181,340,239,275,525,377,385,530,689,772,544,628,880,972,1175,1397,1465,1663,1613,1394,1729,1392,1752,1993,2383,2159,2475,1824,1998,1982,2482,3625,2263,3705,2639,3457,2548,3223,4994,4947,3807,2931,4579,6031,5118,6161,5512,6834,3880,5606,7684,7361,6732,7648,5104,8291,5647,8756,7755,9860,6176,7103,10435,9289,8515,9867,7233,11085,7367,13033,8699
"320",320,22,24,32,39,49,62,69,89,159,202,233,259,293,409,446,347,558,578,521,731,829,882,835,785,1033,891,1237,1456,1407,988,1412,1742,1903,1391,2145,2293,1463,2586,2700,2171,2223,3276,2797,2295,4043,3950,2389,4360,4461,4221,3363,3548,4889,4300,3114,4275,5436,4136,6744,6281,5738,7177,6947,5129,5171,4584,8936,5526,4987,6896,5143,5695,8542,8585,10866,6346,7304,7828,6917,10445,7450,10023
"321",321,21,25,37,51,69,81,93,91,132,126,216,268,342,338,287,528,343,362,533,718,680,750,821,1000,1255,1300,926,1074,1081,1413,1871,1166,1167,2237,2260,2387,2755,2163,2353,2948,1912,2700,2373,3077,3784,2910,2837,2946,2922,4429,4125,4626,3149,5844,5170,3438,4610,6744,6039,6962,4447,4006,6292,7948,4491,6591,5676,4812,4935,8524,7806,9349,7893,8472,7512,8076,6899,6823,9543,9549,11220,11459
"322",322,22,24,31,44,67,58,95,87,140,155,247,291,210,300,273,509,389,587,636,599,600,823,1058,660,989,1335,1478,1006,1391,1549,1336,1858,2138,2152,2152,1934,2334,2560,2267,2132,2485,2749,3555,3475,3502,3721,3911,4318,3145,2740,4927,4240,4632,3797,3464,3692,4818,5788,3720,3684,7246,6957,5501,6878,5169,7010,7814,7220,7323,7944,6884,9903,9914,8983,10052,6061,8138,9217,8911,9873,7144,8445
"323",323,22,28,37,36,63,88,103,95,175,203,148,235,320,363,318,300,369,634,471,615,768,829,1015,603,951,787,1030,1316,1337,1633,1438,1057,1794,2147,1377,1617,1967,1554,1612,1832,2877,3366,2791,3600,4030,2689,3314,4215,4340,2799,4205,3861,4766,3019,3484,4353,4102,5862,6282,4282,5829,4481,5339,7679,5469,6198,5775,8019,6517,7405,6582,10145,7608,6085,10366,7948,7974,11612,10712,8700,12192,13449
"324",324,21,24,35,36,57,65,105,107,118,149,151,184,219,401,470,492,341,399,460,592,737,867,779,799,1247,1185,884,965,1618,1751,1706,1789,1166,1709,1864,2368,2102,2870,2403,1848,2844,2912,3705,2112,2679,4087,3497,3444,4641,2986,2716,4722,3041,5501,4570,4446,4423,4145,6706,5929,6659,7333,6266,7917,7117,7188,5930,8029,9435,7438,9981,8050,5659,8975,7084,7982,7597,10453,7714,7959,10101,11019
"325",325,21,26,30,41,58,75,107,91,102,185,158,181,210,241,284,366,404,369,548,501,611,683,1038,669,889,1304,912,1035,1209,1564,1727,1155,1283,2083,1431,1579,2342,1866,2664,1939,2848,3009,3700,2944,3339,3349,3799,2639,3262,3291,4019,5180,4944,4245,5365,3681,4896,4388,6602,4104,3940,7124,4927,7851,4380,4896,5125,8786,5610,6611,9194,9310,6306,7299,10056,10051,9361,6453,12317,12094,9732,10752
"326",326,22,28,33,47,56,62,111,131,161,167,260,302,214,395,281,377,386,388,655,663,742,863,868,1059,1221,919,1258,1014,1437,1355,1106,1690,1996,1393,2037,1813,2171,2836,2927,2944,2737,1871,2968,2126,3190,2576,3495,3310,3283,3666,4382,4263,3320,5795,5574,6092,5999,5339,6614,5192,5320,5883,6323,7270,5699,6237,6455,9146,9291,9004,7715,9668,6984,5981,10549,10060,6713,6720,7377,8012,7700,9106
"327",327,22,24,38,50,54,91,78,147,114,198,146,236,261,308,332,398,434,640,602,509,519,826,1043,919,733,808,1263,1509,1423,1404,1444,1534,1905,1343,1595,1937,1768,2422,2207,2766,3380,3177,2963,3435,2916,2561,2440,2742,4294,4004,4701,4894,4231,4851,4164,5156,6318,4746,6088,5872,6638,6561,7661,6751,4861,7879,8635,8863,8907,5823,8596,9115,6190,10951,10394,8183,10785,7705,7701,9354,7576,7655
"328",328,22,27,32,47,65,88,90,98,111,167,254,269,231,261,317,285,559,558,738,431,677,648,915,1045,1028,742,1469,908,1353,1699,1254,1917,1629,2317,2424,2506,2479,1959,1702,2420,3049,2174,2575,2435,2611,2924,2577,3619,4267,4883,3081,4972,4136,4708,3797,5604,6009,4233,4227,5220,4703,4390,5268,7184,5455,4980,6182,7215,5854,4942,5801,8441,8184,6419,7213,9970,8997,9967,7503,6475,10660,6746
"329",329,22,24,37,39,55,70,103,97,112,174,244,179,345,312,284,490,542,410,508,719,894,547,569,734,1195,1242,1456,1050,1515,1697,1020,1994,2031,1561,1387,1956,2268,2884,1728,3127,1751,2181,2694,3672,3655,2673,3619,3137,2448,2549,3495,3549,4748,3088,3850,4456,6420,3997,6478,5158,4388,7203,4244,4227,8047,5451,8312,6679,4923,6435,6635,8054,10539,6004,7096,8426,10209,10543,10216,6547,7057,9430
"330",330,21,27,29,39,65,80,83,112,119,165,187,290,217,245,340,476,518,566,653,693,631,984,804,1009,963,976,1390,838,1159,1595,1008,1111,2037,1630,1761,2001,2422,1975,2860,2889,2705,2051,2592,3864,2861,3547,2357,2416,2682,4884,3864,4419,4999,3702,4198,5118,3432,4446,3990,6772,7027,4579,5194,7336,6898,4661,6009,7230,8115,6788,8697,7486,9590,10654,6094,8634,8971,12032,12195,10961,10780,8166
"331",331,21,25,33,45,46,79,101,138,122,139,203,202,216,363,433,428,446,487,633,458,548,737,695,836,980,1030,884,1458,1144,1503,1591,1378,1523,1778,1969,1857,2193,2850,1568,2196,2582,3500,1938,3138,3266,3674,3851,3325,3738,2612,3672,4152,4764,5247,3746,6239,6229,4429,4868,3664,5909,5880,4398,8059,4849,5225,4790,9031,5506,8034,6960,7978,6533,7253,7350,7737,10217,11099,6458,10983,9631,7924
"332",332,22,28,32,44,63,74,109,114,167,199,249,282,311,379,313,480,476,383,714,585,765,795,960,1127,666,1312,1077,1336,1124,1648,1250,1462,1429,1665,2009,2248,1617,2002,2829,1860,3000,2602,2750,2426,3439,2449,2717,2624,2684,2704,3559,4246,3250,3019,3696,5465,5091,5033,5964,7056,6293,4321,6953,4586,4710,7073,6477,7695,7312,6953,8020,7810,6648,5992,6577,7750,7758,11966,12366,11990,8515,7150
"333",333,22,24,29,48,47,61,90,104,153,155,191,187,341,408,259,346,479,586,566,505,649,816,1009,702,957,1079,1030,1468,1301,1379,1590,1966,1826,2082,1407,2569,2207,2281,2497,1710,3300,3329,3264,3451,4055,2625,2724,2443,3386,4053,3313,3127,4621,3158,5250,5972,4358,5782,4718,6869,5179,6951,4305,7769,7559,7110,5716,8740,6113,5544,7724,8479,9294,6362,11150,9252,7185,6663,8793,9202,7714,8309
"334",334,22,25,38,39,45,73,87,133,130,134,252,264,250,373,375,516,460,375,424,652,591,528,908,703,729,1019,1129,1347,1556,1738,1533,1993,1403,1917,1740,1795,1928,2351,2223,2715,1984,2928,3491,3506,3306,2236,2983,4247,4458,4934,4941,4551,3818,3820,5237,4155,4064,4906,5441,4049,6330,5760,4901,6727,7781,6074,6882,8464,9002,8361,6672,6137,8359,7374,7312,6424,8400,7119,9152,9833,12145,9884
"335",335,21,28,33,52,61,64,118,127,109,167,197,193,239,329,377,499,582,666,586,681,474,985,1015,685,718,942,1388,1094,1556,1570,1266,1121,1813,1898,2151,1932,2675,1582,2384,2379,3019,3408,2545,3341,3870,4187,2395,2572,4136,4987,3147,3118,4545,3585,3904,4346,3701,5299,6303,6281,4001,5487,6042,4948,4663,5465,8883,5997,6069,7053,6834,5439,8745,7887,6992,7267,8949,12058,8327,8240,9999,8177
"336",336,22,27,34,49,46,90,93,130,180,208,225,205,350,221,287,520,509,477,567,731,680,726,652,1015,1164,1172,977,1206,871,1641,1926,1259,1843,2120,1982,1367,2226,2851,2712,2334,2323,1820,2577,2240,2408,3602,3006,3257,3642,4477,4250,4554,3301,4054,3069,6261,3520,5425,4118,4630,7036,5179,5600,4919,6220,8169,8479,6202,4848,7397,6971,8193,5403,8264,9074,11185,7408,11887,10098,10853,9890,13427
"337",337,22,24,38,39,70,90,99,117,181,127,239,308,258,400,435,452,477,390,596,504,821,771,721,1087,1174,707,792,1236,1246,1140,1632,1523,1831,2055,2385,1837,1601,2432,1596,2947,3073,2489,3212,3606,3121,2483,3338,2667,4122,3937,2890,3464,4937,3891,4953,6035,6258,6547,6671,6495,4580,5922,7637,5788,8353,4798,5942,7598,8090,8476,6995,8106,5936,6357,8217,8697,6764,7174,7712,9391,10160,10912
"338",338,21,24,37,48,69,71,78,120,154,172,207,242,353,243,420,362,337,611,400,421,558,834,579,1037,1144,1011,1444,1320,1533,1530,1390,1742,1786,1205,1535,2025,2647,1634,2185,2221,3126,1946,2532,2617,2641,3657,3450,4533,2432,3031,4184,2897,5055,3956,3618,6105,4325,4290,4453,6551,4635,4547,4257,6758,7889,6105,5033,8203,8953,7766,8247,10002,6714,8439,8913,10354,8454,11533,9413,6702,7108,12637
